Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,27.89,27.89,27.89,27.89,0,
11/17/2020 10:32:00 AM,27.89,27.89,27.89,27.89,0,0
11/17/2020 10:33:00 AM,27.95,27.95,27.9498,27.95,1700,33
11/17/2020 10:34:00 AM,27.9494,27.9494,27.9494,27.9494,200,35
11/17/2020 10:35:00 AM,27.91,28.145,27.91,28.13,6900,48
11/17/2020 10:36:00 AM,28.13,28.13,28.13,28.13,100,56
11/17/2020 10:37:00 AM,28.05,28.05,28.05,28.05,100,65
11/17/2020 10:38:00 AM,28.1084,28.1084,28,28,2300,44
11/17/2020 10:39:00 AM,28.059,28.059,27.96,27.99,2600,28
11/17/2020 10:40:00 AM,27.99,27.99,27.99,27.99,0,31
11/17/2020 10:41:00 AM,27.99,27.99,27.885,27.885,100,36
11/17/2020 10:42:00 AM,27.885,27.885,27.885,27.885,0,39
11/17/2020 10:43:00 AM,27.885,27.885,27.885,27.885,0,42
11/17/2020 10:44:00 AM,27.885,28.01,27.885,28.01,500,41
11/17/2020 10:45:00 AM,28.01,28.01,28.01,28.01,0,43
11/17/2020 10:46:00 AM,28.01,28.0999,27.98,28.0999,8500,58
11/17/2020 10:47:00 AM,28.0999,28.0999,27.9301,27.9301,700,100
11/17/2020 10:48:00 AM,27.9301,28.01,27.93,28.01,1300,100
11/17/2020 10:49:00 AM,28.04,28.04,28.04,28.04,300,100
11/17/2020 10:50:00 AM,28.04,28.04,28.04,28.04,100,100
11/17/2020 10:51:00 AM,28.04,28.04,28.04,28.04,0,100
11/17/2020 10:52:00 AM,28.04,28.04,28.04,28.04,0,100
11/17/2020 10:53:00 AM,28.04,28.04,28.04,28.04,0,100
11/17/2020 10:54:00 AM,28.04,28.04,28.01,28.01,400,100
11/17/2020 10:55:00 AM,28.01,28.06,27.995,28,2100,100
11/17/2020 10:56:00 AM,28.08,28.09,28.01,28.09,2000,100
11/17/2020 10:57:00 AM,28.09,28.09,28.09,28.09,0,100
11/17/2020 10:58:00 AM,28.09,28.17,28.09,28.17,2200,100
11/17/2020 10:59:00 AM,28.17,28.29,28.17,28.29,700,92
11/17/2020 11:00:00 AM,28.29,28.29,28.29,28.29,100,100
11/17/2020 11:01:00 AM,28.1766,28.1766,28.1766,28.1766,200,100
11/17/2020 11:02:00 AM,28.1766,28.1766,28.13,28.13,400,57
11/17/2020 11:03:00 AM,28.13,28.13,28.13,28.13,0,58
11/17/2020 11:04:00 AM,28.145,28.145,28.145,28.145,300,37
11/17/2020 11:05:00 AM,28.145,28.145,28.145,28.145,0,53
11/17/2020 11:06:00 AM,28.145,28.145,28.1,28.1,500,59
11/17/2020 11:07:00 AM,28.15,28.16,28.15,28.16,700,48
11/17/2020 11:08:00 AM,28.16,28.29,28.116,28.26,1700,57
11/17/2020 11:09:00 AM,28.26,28.42,28.26,28.42,6300,100
11/17/2020 11:10:00 AM,28.42,28.45,28.42,28.45,300,100
11/17/2020 11:11:00 AM,28.45,28.45,28.45,28.45,200,100
11/17/2020 11:12:00 AM,28.45,28.45,28.45,28.45,0,100
11/17/2020 11:13:00 AM,28.46,28.47,28.43,28.47,300,100
11/17/2020 11:14:00 AM,28.365,28.47,28.365,28.47,200,100
11/17/2020 11:15:00 AM,28.47,28.47,28.47,28.47,0,100
11/17/2020 11:16:00 AM,28.47,28.47,28.395,28.395,500,100
11/17/2020 11:17:00 AM,28.395,28.45,28.395,28.45,1400,100
11/17/2020 11:18:00 AM,28.45,28.48,28.4455,28.48,500,100
11/17/2020 11:19:00 AM,28.48,28.48,28.48,28.48,0,100
11/17/2020 11:20:00 AM,28.48,28.55,28.48,28.55,1600,100
11/17/2020 11:21:00 AM,28.55,28.55,28.495,28.53,300,100
11/17/2020 11:22:00 AM,28.53,28.55,28.51,28.55,300,100
11/17/2020 11:23:00 AM,28.55,28.65,28.51,28.575,3900,100
11/17/2020 11:24:00 AM,28.575,28.588,28.5656,28.575,800,100
